id,text_no_spaces,text_with_spaces,predicted_positions
371,подарюкотенкахорошимлюдям,подарю котенка хорошим людям,"[6, 13, 20]"
372,SamsungA54новый,SamsungA 54 новый,"[8, 10]"
373,квартирастудиядолгосрочно,квартира студия долгосрочно,"[8, 14]"
374,ИвановИванСергеевич,ИвановИванСергеевич,[]
375,ищуавтозапчастинаВАЗ,ищу автозапчасти наВАЗ,"[3, 15]"
376,сломалсяпылесосSamsung,сломался пылесос Samsung,"[8, 15]"
377,срочнонуженмастер-сантехник,срочно нужен мастер-сантехник,"[6, 11]"
378,ищудешевыеавиабилеты,ищу дешевые авиабилеты,"[3, 10]"
379,куплюбилетывтеатр,куплю билеты в театр,"[5, 11, 12]"
380,новыйхолодильникдешево,новый холодильник дешево,"[5, 16]"
381,iPhone15Pro,iPhone 15 Pro,"[6, 8]"
382,ремонтобувирядом,ремонт обуви рядом,"[6, 11]"
383,сдамкомнатустуденту,с дам комнату студенту,"[1, 4, 11]"
384,хочузаказатьсуши!,хочу заказать суши!,"[4, 12]"
385,"ноутбукзависаетчасто,чтоделать","ноутбук зависает часто, что делать","[7, 15, 21, 24]"
386,ЯндексЕданеработает,ЯндексЕда не работает,"[9, 11]"
387,ищузапчастинаВАЗ2107,ищу запчасти наВАЗ2107,"[3, 11]"
388,ремонтiPhoneбыстро,ремонт iPhone быстро,"[6, 12]"
389,хочукупитьсамокатребенку,хочу купить самокат ребенку,"[4, 10, 17]"
390,ищурепетиторапоанглийскому,ищу репетитора по английскому,"[3, 13, 15]"
391,сдаюквартирупосуточно,сдаю квартиру посуточно,"[4, 12]"
392,доставкаедыМосква,доставка едыМосква,[8]
393,продамкурткубу,продам куртку бу,"[6, 12]"
394,куплюколесазима,куплю колеса зима,"[5, 11]"
395,ремонткомпьютеровнедорого,ремонт компьютеров не дорого,"[6, 17, 19]"
396,продаюстулIkea,продаю стул Ikea,"[6, 10]"
397,автостеклозамена,авто стекло замена,"[4, 10]"
398,нуженмастерпомебели,нужен мастер по мебели,"[5, 11, 13]"
399,куплюдетскуюколяску,куплю детскую коляску,"[5, 12]"
400,продаюXboxSeriesS,продаю XboxSeriesS,[6]
401,хочукупитьмороженое,хочу купить мороженое,"[4, 10]"
402,ремонтiPhoneМосква,ремонт iPhoneМосква,[6]
403,хочукофелатте,хочу кофе латте,"[4, 8]"
404,"IKEAзакрылась,чтоделать?","IKEA закрылась, что делать?","[4, 14, 17]"
405,ищуподругудляобщения,ищу подругу для общения,"[3, 10, 13]"
406,срочнонуженрепетитор,срочно нужен репетитор,"[6, 11]"
407,"потерялпаспорт,помогите","потерял паспорт, помогите","[7, 15]"
408,куплюдетскиевещи,куплю детские вещи,"[5, 12]"
409,ремонтiPhoneсрочно,ремонт iPhone срочно,"[6, 12]"
410,ищуавтоспробегом,ищу авто с пробегом,"[3, 7, 8]"
411,куплюiPhone12,куплю iPhone 12,"[5, 11]"
412,новыйдивандоставка,новый диван доставка,"[5, 10]"
413,квартирасремонтомнедорого,квартира с ремонтом не дорого,"[8, 9, 17, 19]"
414,хочукупитьтелевизорSamsung,хочу купить телевизор Samsung,"[4, 10, 19]"
415,срочнопродаювелосипедбу,срочно продаю велосипед бу,"[6, 12, 21]"
416,ищустудентадляпомощи,ищу студента для помощи,"[3, 11, 14]"
417,МоскваСбербанкбанкомат,МоскваСбербанк банкомат,[14]
418,ищумебельбунедорого,ищу мебельбу не дорого,"[3, 11, 13]"
419,ноутбукAsusROG,ноутбук AsusROG,[7]
420,хочузаказатьпиццу,хочу заказать пиццу,"[4, 12]"
421,сдаюквартирунамесяц,сдаю квартиру на месяц,"[4, 12, 14]"
422,ищудешёвыйтелефон,ищу дешёвый телефон,"[3, 10]"
423,продаммониторбу,продам монитор бу,"[6, 13]"
424,ищуспециалистапоремонту,ищу специалиста по ремонту,"[3, 14, 16]"
425,куплюгитарунедорого,куплю гитару недорого,"[5, 11]"
426,ищукнигупоистории,ищу книгу по истории,"[3, 8, 10]"
427,старыйтелевизорработает,старый телевизор работает,"[6, 15]"
428,куплюсамокатдетский,куплю самокат детский,"[5, 12]"
429,"ищусобаку,пропала","ищу собаку, пропала","[3, 10]"
430,Аятанцуюпьяныйподдождём,Ая танцую пьяный под дождём,"[2, 8, 14, 17]"
431,"Курилитолькосиги,есличё","Курили только сиги, если чё","[6, 12, 17, 21]"
432,Нашобразжизнистанетпалачом,Наш образ жизни станет палачом,"[3, 8, 13, 19]"
433,Нискольконежалеюниочём,Нисколько не жалею ни о чём,"[9, 11, 16, 18, 19]"
434,"Грустно,когдарасписанывсемаршруты","Грустно, когда расписаны все маршруты","[8, 13, 22, 25]"
435,Когданачасахважныминуты,Когда на часах важны минуты,"[5, 7, 12, 17]"
436,Ивсенасветесталокак-тоскучноиглупо,Ивсе на свете стало как-то скучно и глупо,"[4, 6, 11, 16, 22, 28, 29]"
437,"Мояшизазнает,когданажатьнаплей","Мояшиза знает, когда нажать на плей","[7, 13, 18, 24, 26]"
438,"Неждименяродная,закрывайназамокдверь","Не жди меня родная, закрывай на замок дверь","[2, 5, 9, 16, 24, 26, 31]"
439,"Утродоброе,держименяфонарь","Утро доброе, держи меня фонарь","[4, 11, 16, 20]"
440,"Очкитёмные,спрячьтемнеглаза","Очки тёмные, спрячьте мне глаза","[4, 11, 19, 22]"
441,"Солнцеяркое,прошусогрейменя","Солнце яркое, прошу согрей меня","[6, 12, 17, 23]"
442,"Быловесело,ноябнеповторял","Было весело, но я б не повторял","[4, 11, 13, 14, 15, 17]"
443,Якалендарьперевернул,Якалендарь перевернул,[10]
444,Исноватретьесентября,Иснова третье сентября,"[6, 12]"
445,Нафотоятвоёвзгляну,На фото я твоё взгляну,"[2, 6, 7, 11]"
446,"Нопочему,нопочему","Но почему, но почему","[2, 9, 11]"
447,Расстатьсявсёженампришлось?,Расстаться всё же нам пришлось?,"[10, 13, 15, 18]"
448,Ведьбыловсёунасвсерьёз,Ведь было всё у нас всерьёз,"[4, 8, 11, 12, 15]"
449,Второгосентября,Второго сентября,[7]
450,Журавлейбелыйклин,Журавлей белый клин,"[8, 13]"
451,Твоядочьимойсын—,Твоя дочь и мой сын —,"[4, 8, 9, 12, 15]"
452,Всехотяттеплотыиласки,Все хотят теплоты и ласки,"[3, 8, 15, 16]"
453,"Мывлюбовь,каквигру,","Мыв любовь, как в игру,","[3, 10, 13, 14]"
454,Нахолодномветру,На холодном ветру,"[2, 10]"
455,Поигралистобой,Поиграли с тобой,"[8, 9]"
456,Нопришёлсамсобой,Нопришёл сам собой,"[8, 11]"
457,"Выцветшаятень,выжженнаяна","Выцветшая тень, выжженная на","[9, 14, 23]"
458,Городскомландшафтеменязовёт,Городском ландшафте меня зовёт,"[9, 18, 22]"
459,Окнаянтарёмлижутмнеглаза,Окна янтарём лижут мне глаза,"[4, 11, 16, 19]"
460,Кровьислепотаволокутвперёд,Кровь и слепота волокут вперёд,"[5, 6, 13, 20]"
461,Лёгкиеопухли,Лёгкие опухли,[6]
462,Амороксквозьтолпу,Аморок сквозь толпу,"[6, 12]"
463,"Манит,игнорируяменя","Манит, игнорируя меня","[6, 15]"
464,Толькобыдогнал,Только бы догнал,"[6, 8]"
465,Яегопочтидогнал,Яего почти догнал,"[4, 9]"
466,Телоисполняетсяогня,Тело исполняется огня,"[4, 15]"
467,"Сердцелупитмневгрудь,каквгонг","Сердце лупит мне в грудь, как в гонг","[6, 11, 14, 15, 21, 24, 25]"
468,Расползаясьпососудамраскатами,Расползаясь по сосудам раскатами,"[11, 13, 20]"
469,Ветхийгородприменяетзакон,Ветхий город применяет закон,"[6, 11, 20]"
470,Чтобыдваблизнецаоказалисьразъятыми,Чтобы два близнеца оказались разъятыми,"[5, 8, 16, 25]"
471,"Ядавлюсь,изрыгаяогонь","Ядавлюсь, изрыгая огонь","[9, 16]"
472,Глоткамивоздуха,Глотками воздуха,[8]
473,Наальвеолахраспятыми,Наальвеолах распятыми,[11]
474,Вэтомстробоскопическомкино,Вэтом стробоскопическом кино,"[5, 22]"
475,Длядостижениярубежа,Для достижения рубежа,"[3, 13]"
476,"Мненехватаетдыхания,но","Мне не хватает дыхания, но","[3, 5, 12, 20]"
477,Япродолжаючтоестьмочибежать,Япродолжаю что есть мочи бежать,"[10, 13, 17, 21]"
478,Толькоменябеспокоитодно,Только меня беспокоит одно,"[6, 10, 19]"
479,Лёгкиебудтопоеларжа,Лёгкие будто поела ржа,"[6, 11, 16]"
480,Япродолжаюзанимбежать,Япродолжаю за ним бежать,"[10, 12, 15]"
481,"Яананас,ятакойжекакон","Яананас, я такой же как он","[8, 9, 14, 16, 19]"
482,Колючийвнутриисовсехсторон,Колючий внутри и со всех сторон,"[7, 13, 14, 16, 20]"
483,Нешутисомной,Нешути со мной,"[6, 8]"
484,Ятропическийлев,Ятропический лев,[12]
485,АркадийУкупник—кусающийлжец,АркадийУкупник — кусающий лжец,"[14, 15, 23]"
486,"Тот,ктовпятнадцатьлетубежализдома,","Тот, кто в пятнадцать лет убежал из дома,","[4, 7, 8, 18, 21, 27, 29]"
487,"Врядлипойметтого,ктоучилсявспецшколе.","Вряд ли поймет того, кто учился в спецшколе.","[4, 6, 12, 17, 20, 26, 27]"
488,"Тот,укогоестьхорошийжизненныйплан,","Тот, у кого есть хороший жизненный план,","[4, 5, 9, 13, 20, 29]"
489,Врядлибудетдуматьочем-тодругом.,Вряд ли будет думать о чем-то другом.,"[4, 6, 11, 17, 18, 24]"
490,"Мыпьемчайвстарыхквартирах,","Мыпьем чай в старых квартирах,","[6, 9, 10, 16]"
491,"Ждемлетавстарыхквартирах,","Ждем лета в старых квартирах,","[4, 8, 9, 15]"
492,"Встарыхквартирах,гдеестьсвет,","Встарых квартирах, где есть свет,","[7, 17, 20, 24]"
493,"Газ,телефон,горячаявода,","Газ, телефон, горячая вода,","[4, 12, 19]"
494,"Радиоточка,пол-паркет,","Радиоточка, пол-паркет,",[11]
495,"Санузелраздельный,домкирпичный,","Санузел раздельный, дом кирпичный,","[7, 18, 21]"
496,"Однасемья,двесемьи,трисемьи...","Одна семья, две семьи, три семьи...","[4, 10, 13, 19, 22]"
497,"Многоподсобныхпомещений,","Много подсобных помещений,","[5, 14]"
498,"Первыйипоследний-непредлагать,","Первый и последний - не предлагать,","[6, 7, 16, 17, 19]"
499,"Рядомсметро,центр...","Рядом с метро, центр...","[5, 6, 12]"
500,"Всеговорят,чтомыв-месте...","Все говорят, что мы в-месте...","[3, 11, 14, 16]"
501,"Всеговорят,нонемногиезнают,вкаком.","Все говорят, но немногие знают, в каком.","[3, 11, 13, 21, 27, 28]"
502,Аизнашихтрубидетнеобычныйдым.,Аиз наших труб идет необычный дым.,"[3, 8, 12, 16, 25]"
503,Стой!Опаснаязона!Работамозга!..,Стой!Опасная зона!Работа мозга!..,"[12, 23]"
504,Пожалуйстанеумирай,Пожалуйста не умирай,"[10, 12]"
505,Илимнепридетсятоже,Или мне придется тоже,"[3, 6, 14]"
506,Тыконечносразуврай,Ты конечно сразу в рай,"[2, 9, 14, 15]"
507,Аянедумаючтотоже,Аяне думаю что тоже,"[4, 9, 12]"
508,Хочешьсладкихапельсинов,Хочешь сладких апельсинов,"[6, 13]"
509,Хочешьвслухрассказдлинный,Хочешь вслух рассказ длинный,"[6, 11, 18]"
510,Хочешьявзорвувсезвезды,Хочешь я взорву все звезды,"[6, 7, 13, 16]"
511,Чтомешаютспать,Что мешают спать,"[3, 9]"
512,Пожалуйстатолькоживи,Пожалуйста только живи,"[10, 16]"
513,Тыжевидишьяживутобою,Тыже видишь я живу тобою,"[4, 10, 11, 15]"
514,Моейогромнойлюбви,Моей огромной любви,"[4, 12]"
515,Хватитнамдвоимсголовою,Хватит нам двоим с головою,"[6, 9, 14, 15]"
516,Хочешьмореспарусами,Хочешь море с парусами,"[6, 10, 11]"
517,Хочешьмузыкновыхсамых,Хочешь музы к новых самых,"[6, 10, 11, 16]"
518,Хочешьяубьюсоседей,Хочешь я убью соседей,"[6, 7, 11]"
519,Хочешьсолнцевместолампы,Хочешь солнце вместо лампы,"[6, 12, 18]"
520,ХочешьзаокошкомАльпы,Хочешь за окошкомАльпы,"[6, 8]"
521,Хочешьяотдамвсепесни,Хочешь я отдам все песни,"[6, 7, 12, 15]"
522,Протебяотдамвсепесни,Про тебя отдам все песни,"[3, 7, 12, 15]"
523,"Яискалатебягодамидолгими,","Яискала тебя годами долгими,","[7, 11, 17]"
524,Искалатебядворамитемными.,Искала тебя дворами темными.,"[6, 10, 17]"
525,"Вжурналах,вкино,средидрузей.","Вжурналах, в кино, среди друзей.","[10, 11, 16, 21]"
526,"Вдень,когданашла,сумасошла.","Вдень, когда нашла, с ума сошла.","[6, 11, 17, 18, 21]"
527,"Ты,совсемкаквосне,","Ты, совсем как во сне,","[3, 9, 12, 14]"
528,"Совсемкаквальбомах,","Совсем как в альбомах,","[6, 9, 10]"
529,Гдеярисовалатебягуашью.,Где я рисовала тебя гуашью.,"[3, 4, 12, 16]"
530,"Дальшебылизвонки,ночныебольше.","Дальше были звонки, ночные больше.","[6, 10, 17, 23]"
531,"Слезы,нервы,любовьистрелкивПольше.","Слезы, нервы, любовь и стрелки вПольше.","[6, 12, 18, 19, 26]"
532,"Дети,нонемои,старыезазнобы,","Дети, но не мои, старые зазнобы,","[5, 7, 9, 13, 19]"
533,"Куришькаждыепять,мыусталиоба.","Куришь каждые пять, мы устали оба.","[6, 12, 17, 19, 25]"
534,...годамидолгими.,... годами долгими.,"[3, 9]"
535,...ночамитемными.,... ночами темными.,"[3, 9]"
536,"Искалатебядворамитемными,","Искала тебя дворами темными,","[6, 10, 17]"
537,"Вжурналах,вкино,годамидолгими,","Вжурналах, в кино, годами долгими,","[10, 11, 16, 22]"
538,"Искалатебяночами,чами,чами,чами...","Искала тебя ночами, чами, чами, чами...","[6, 10, 17, 22, 27]"
539,Большиегорода,Большие города,[7]
540,Пустыепоезда,Пустые поезда,[6]
541,Нибереганидна,Ни берега ни дна,"[2, 8, 10]"
542,Всеначинатьсначала,Все начинать сначала,"[3, 11]"
543,Холоднаявойна,Холодная война,[8]
544,Ивремякаквода,Ивремя как вода,"[6, 9]"
545,Оннесошелсума,Онне сошел с ума,"[4, 9, 10]"
546,Тыничегонезнала,Ты ничего не знала,"[2, 8, 10]"
547,Полковникуниктонепишет,Полковнику никто не пишет,"[10, 15, 17]"
548,Полковниканиктонеждет,Полковника никто не ждет,"[10, 15, 17]"
549,Налинииогня,На линии огня,"[2, 7]"
550,Пустыегорода,Пустые города,[6]
551,Вкоторыхникогда,Вкоторых никогда,[8]
552,Тыраньшенебывала,Ты раньше не бывала,"[2, 8, 10]"
553,Ирвутсяпоезда,Ирвутся поезда,[7]
554,Натонкиеслова,На тонкие слова,"[2, 8]"
555,Ясижуисмотрювчужоенебоизчужогоокна,Ясижу и смотрю в чужое небо из чужого окна,"[5, 6, 12, 13, 18, 22, 24, 30]"
556,Иневижуниоднойзнакомойзвезды.,Ине вижу ни одной знакомой звезды.,"[3, 7, 9, 14, 22]"
557,"Яходилповсемдорогамитуда,исюда,","Яходил по всем дорогами туда, и сюда,","[6, 8, 12, 20, 25, 26]"
558,Обернулся-инесмогразглядетьследы.,Обернулся - и не смог разглядеть следы.,"[9, 10, 11, 13, 17, 27]"
559,"Ноеслиестьвкарманепачкасигарет,","Но если есть в кармане пачка сигарет,","[2, 6, 10, 11, 18, 23]"
560,Значитвсенетакужплохонасегодняшнийдень.,Значит все не так уж плохо на сегодняшний день.,"[6, 9, 11, 14, 16, 21, 23, 34]"
561,"Ибилетнасамолетссеребристымкрылом,","Ибилет на самолет с серебристым крылом,","[6, 8, 15, 16, 27]"
562,"Что,взлетая,оставляетземлелишьтень.","Что, взлетая, оставляет земле лишь тень.","[4, 12, 21, 26, 30]"
563,"Иниктонехотелбытьвиноватымбезвина,","Иникто не хотел быть виноватым без вина,","[6, 8, 13, 17, 26, 29]"
564,"Иниктонехотелрукамижарзагребать,","Иникто не хотел руками жар загребать,","[6, 8, 13, 19, 22]"
565,"Абезмузыкинамирусмертьнекрасна,","Абез музыки на миру смерть некрасна,","[4, 10, 12, 16, 22]"
566,Абезмузыкинехочетсяпропадать.,Абез музыки не хочется пропадать.,"[4, 10, 12, 19]"
567,"Призрачновсевэтоммиребушующем,","Призрачно все в этом мире бушующем,","[9, 12, 13, 17, 21]"
568,Естьтолькомиг-занегоидержись.,Есть только миг-за него и держись.,"[4, 10, 16, 20, 21]"
569,"Естьтолькомигмеждупрошлымибудущим,-","Есть только миг между прошлым и будущим,-","[4, 10, 13, 18, 25, 26]"
570,Именноонназываетсяжизнь.,Именно он называется жизнь.,"[6, 8, 18]"
571,"Вечныйпокойсердцеврядлиобрадует,","Вечный покой сердце вряд ли обрадует,","[6, 11, 17, 21, 23]"
572,Вечныйпокой-дляседыхпирамид.,Вечный покой - для седых пирамид.,"[6, 11, 12, 15, 20]"
573,"Адлязвезды,чтосорваласьипадает","Адля звезды, что сорвалась и падает","[4, 11, 14, 23, 24]"
574,"Естьтолькомиг,ослепительныймиг.","Есть только миг, ослепительный миг.","[4, 10, 14, 27]"
575,"Пустьэтотмирвдальлетитсквозьстолетия,","Пусть этот мир в даль летит сквозь столетия,","[5, 9, 12, 13, 17, 22, 28]"
576,"Ноневсегдаподорогемнесним,","Ноне всегда по дороге мне с ним,","[4, 10, 12, 18, 21, 22]"
577,"Чемдорожу,чемрискуюнасветея?","Чем дорожу, чем рискую на свете я?","[3, 10, 13, 19, 21, 26]"
578,"Мигомодним,толькомигомодним.","Мигом одним, только мигом одним.","[5, 11, 17, 22]"
579,Счастьеданоповстречатьильбедуеще,Счастье дано повстречать иль беду еще,"[7, 11, 22, 25, 29]"
580,Естьтолькомиг-занегоидержись!,Есть только миг-за него и держись!,"[4, 10, 16, 20, 21]"
581,Волкиуходятвнебеса.,Волк и уходят в небеса.,"[4, 5, 11, 12]"
582,Горятхолодныеглаза.,Горят холодные глаза.,"[5, 13]"
583,Приказаверитьвчудеса,Прика заверить в чудеса,"[5, 13, 14]"
584,Непоступало.,Не поступало.,[2]
585,"Икаждыйденьдругаяцель,","Икаждый день другая цель,","[7, 11, 17]"
586,"Тостеныгор,тогорыстен","То стены гор, то горы стен","[2, 7, 11, 13, 17]"
587,Иждётотчаянныхгостей,Иждёт отчаянных гостей,"[5, 14]"
588,Чужаястая.,Чужая стая.,[5]
589,"Спиной,","Спиной,",[]
590,Кветруивсёже,Кветру и всё же,"[6, 7, 10]"
591,Вырватьсяможет,Вырваться может,[9]
592,Чья-тодуша.,Чья-то душа.,[6]
593,"Спасёт,","Спасёт,",[]
594,Нонепоможет,Ноне поможет,[4]
595,"Чувствуюкожей,","Чувствую кожей,",[8]
596,Пропащая.,Пропащая.,[]
597,"Непомнятслов,невидятснов","Непомнят слов, не видят снов","[8, 13, 15, 20]"
598,Перерослисвоихотцов.,Переросли своих отцов.,"[9, 14]"
599,"И,кажется,рукабойцов","И, кажется, рука бойцов","[2, 10, 14]"
600,Колотьустала.,Колоть устала.,[6]
601,Позорислававихкрови,Позор и слава в их крови,"[5, 6, 11, 12, 14]"
602,Хватаетсмертиилюбви,Хватает смерти и любви,"[7, 13, 14]"
603,Носкольковолканекорми,Носколько волка не корми,"[9, 14, 16]"
604,Емувсемало.,Ему все мало.,"[3, 6]"
605,"Волкиуходят,","Волк и уходят,","[4, 5]"
606,Волкиуходят...,Волк и уходят...,"[4, 5]"
607,"Всёизчегомоисомнениясотканы,тонко.","Всё из чего мои сомнения сотканы, тонко.","[3, 5, 9, 12, 20, 28]"
608,"Какойчудесныйдень,мояструитсялень","Ка кой чудесный день, моя струится лень","[2, 5, 13, 18, 21, 29]"
609,Награнипросветления,Награни просветления,[7]
610,Сияетшамбалаинежитсядуша,Сияет шамбала и нежится душа,"[5, 12, 13, 20]"
611,Внирваневоскресения.,Внирване воскресения.,[8]
612,"О,каклегкомоивоспоминаниявыцвели","О, как легко мои воспоминания выцвели","[2, 5, 10, 13, 25]"
613,Ктоятакойипочемусбиваютсямысли.,Кто я такой и почему сбиваются мысли.,"[3, 4, 9, 10, 16, 25]"
614,"Верхомназвезде,","Верхом на звезде,","[6, 8]"
615,"Вцепившисьвлучи,","Вцепившись в лучи,","[10, 11]"
616,Слунойнаповодке,Слуной на поводке,"[6, 8]"
617,Вночи,Вночи,[]
618,Верхомназвезде,Верхом на звезде,"[6, 8]"
619,"Несусьнавстречуветрам,","Несусь навстречу ветрам,","[6, 15]"
620,Кнесбывшейсямечте,Кнесбывшейся мечте,[12]
621,Иснам,Иснам,[]
622,"О,жизнь,тыпрекрасна,","О, жизнь, ты прекрасна,","[2, 8, 10]"
623,"О,жизнь,тыпрекраснавполне.","О, жизнь, ты прекрасна вполне.","[2, 8, 10, 19]"
624,Бываешьнемногоопасна.О-е.,Бываешь немного опасна.О-е.,"[7, 14]"
625,"Возьмимоесердце,","Возьми мое сердце,","[6, 9]"
626,"Храни,вспоминайобомне,","Храни, вспоминай обо мне,","[6, 15, 18]"
627,"Поверьмне,чтовсененапрасно.","Поверь мне, что все не напрасно.","[6, 10, 13, 16, 18]"
628,"Надлесом,рекой,","Над лесом, рекой,","[3, 9]"
629,Потеряннавсегда,Потерянна всегда,[9]
630,Покой.,Покой.,[]
631,Верхомназвезде.,Верхом на звезде.,"[6, 8]"
632,Mitornodiaboloesta.,Mitornodiaboloesta.,[]
633,Билетводинконец—,Билет в один конец —,"[5, 6, 10, 15]"
634,Весна,Весна,[]
635,Исоздалэтотмир,Исоздал этот мир,"[7, 11]"
636,Ясам,Ясам,[]
637,Верьмне…,Верь мне…,[4]
638,Ямаленькаялошадка,Ямаленькая лошадка,[10]
639,Имнеживётсянесладко,Имне живётся не сладко,"[4, 11, 13]"
640,Мнетруднонестимоюношу,Мнетрудно нести мою ношу,"[9, 14, 17]"
641,"Настанетдень,ияеёброшу","Настанет день, и я её брошу","[8, 13, 14, 15, 17]"
642,Ностоюоченьмногоденег,Ностою очень много денег,"[6, 11, 16]"
643,Иявезусвоюбольшуюповозку,Иявезу свою большую повозку,"[6, 10, 17]"
644,Стогонаэтотберег,Стого на этот берег,"[5, 7, 11]"
645,"Мнехочетсяплакать,мнехочетсясмеяться","Мне хочется плакать, мне хочется смеяться","[3, 10, 18, 21, 28]"
646,"Мнехочетсяпрыгать,валятьсяибрыкаться","Мне хочется прыгать, валяться и брыкаться","[3, 10, 18, 26, 27]"
647,"Чтобыбылидрузьяили,хотябыодин","Чтобы были друзья или, хотя бы один","[5, 9, 15, 19, 23, 25]"
648,"Нояработаю,каквол,вмоейтележкекокаин","Ноя работаю, как вол, в моей тележке кокаин","[3, 11, 14, 18, 19, 23, 30]"
649,"Яумруоченьрано,иязнаюобэтом","Яумру очень рано, и я знаю об этом","[5, 10, 15, 16, 17, 21, 23]"
650,"Можетбытьневесной,можетбытьраннимлетом","Может быть не весной, может быть ранним летом","[5, 9, 11, 18, 23, 27, 33]"
651,"Ялюблюслушатьпесни,икостранюхатьдым","Ялюблю слушать песни, и костранюхать дым","[6, 13, 19, 20, 32]"
652,"Нонельзямнеотвлекаться,явезукокаин","Нонельзя мне отвлекаться, я везу кокаин","[8, 11, 23, 24, 28]"
653,"Яусталаужасно,яхочуотдохнуть","Яустала ужасно, я хочу отдохнуть","[7, 14, 15, 19]"
654,Съестьмешковдесятьсенаинадолгоуснуть,Съесть мешков десять сена и надолго уснуть,"[6, 12, 18, 22, 23, 30]"
655,Яхочукперелётнымптицамвклинитьсявклин,Яхочу к перелётным птицам в клиниться в клин,"[5, 6, 16, 22, 23, 32, 33]"
656,"Ноработаважней,заспинойкокаин","Норабота важней, за спиной кокаин","[8, 15, 17, 23]"
657,"Мнепротивноитрудно,нонельзяотступить","Мне противно и трудно, но нельзя отступить","[3, 11, 12, 19, 21, 27]"
658,"Хотьихочетсяесть,хотьихочетсяпить","Хоть и хочется есть, хоть и хочется пить","[4, 5, 12, 17, 21, 22, 29]"
659,Мыкогда-нибудьзаэтовадскомпламенисгорим,Мы когда-нибудь за это в адском пламени сгорим,"[2, 14, 16, 19, 20, 26, 33]"
660,"Новсёэтопотом,авданныймоменткокаин","Но всё это потом, а в данный момент кокаин","[2, 5, 8, 14, 15, 16, 22, 28]"
661,"Мнеобидно,икапаютслёзы","Мне обидно, и капают слёзы","[3, 10, 11, 17]"
662,Когдамнеподногикидаютрозы,Когда мне под ноги кидают розы,"[5, 8, 11, 15, 21]"
663,Когдалюдинаулицахивокнахквартир,Когда люди на улицах и в окнах квартир,"[5, 9, 11, 17, 18, 19, 24]"
664,Менявстречаютиустраиваютпирнавесьмир,Меня встречают и устраивают пир на весь мир,"[4, 13, 14, 24, 27, 29, 33]"
665,Мнерадыдажемалыедети,Мне рады даже малые дети,"[3, 7, 11, 16]"
666,Мнемашутдажедеревьевветви,Мне машут даже деревьев ветви,"[3, 8, 12, 20]"
667,"Меняприветствуютвсе,все,какодин","Меня приветствуют все, все, как один","[4, 16, 20, 24, 27]"
668,Япривезлаимновыймир,Япривезла им новый мир,"[9, 11, 16]"
669,Япривезлакокаин,Япривезла кокаин,[9]
670,ВпиласьзанозойвсердцемоестрелаКупидона,Впилась занозой в сердце мое стрелаКупидона,"[7, 14, 15, 21, 24]"
671,Хочетсявытащитьиникогданедуматьобэтом,Хочется вытащить и никогда не думать об этом,"[7, 15, 16, 23, 25, 31, 33]"
672,Больнестерпимаимнедосихпорбыланезнакома,Боль нестерпима и мне до сих пор была незнакома,"[4, 14, 15, 18, 20, 23, 26, 30]"
673,Солнцебезжалостновыжглоглазасвоимяркимсветом,Солнце безжалостно выжгло глаза своим ярким светом,"[6, 17, 23, 28, 33, 38]"
674,"Однаонаповсюду,гдебынескрылсяя","Одна она повсюду, где бы не скрылся я","[4, 7, 15, 18, 20, 22, 29]"
675,Вовсехглазахилицахтолькооднаона,Во всех глазах и лицах только одна она,"[2, 6, 12, 13, 18, 24, 28]"
676,"Большенетместа,гдебыямогзализыватьраны","Больше нет места, где бы я мог зализывать раны","[6, 9, 15, 18, 20, 21, 24, 34]"
677,Крыльяразбитыителомоевовластигангрены,Крылья разбиты и тело мое во власти гангрены,"[6, 13, 14, 18, 21, 23, 29]"
678,"Силбольшенет,нетсна,лишьстрахпостоянный","Сил больше нет, нет сна, лишь страх постоянный","[3, 9, 13, 16, 20, 24, 29]"
679,Лишьголоствойвмоейголовеибелыестены,Лишь голос твой в моей голове и белые стены,"[4, 9, 13, 14, 18, 24, 25, 30]"
680,Лишьоднаона,Лишь одна она,"[4, 8]"
681,ВпилосьзанозойвсердцемоестрелаКупидона,Впилось занозой в сердце мое стрелаКупидона,"[7, 14, 15, 21, 24]"
682,Злобныйуродецникакнеоставитвпокое,Злобный уродец никак не оставит в покое,"[7, 13, 18, 20, 27, 28]"
683,"Пустьбудетбольно,силынайдуивыдернускорнем","Пусть будет больно, силы найду и выдерну с корнем","[5, 10, 17, 21, 26, 27, 34, 35]"
684,"Новаяжизнь.Нужнопонять,чтоэтотакое","Новая жизнь.Нужно понять, что это такое","[5, 16, 23, 26, 29]"
685,Лишьона,Лишь она,[4]
686,Жизньиногдавыпускаетжало,Жизнь иногда выпускает жало,"[5, 11, 20]"
687,"Стираяпрошлое,словновирус","Стирая прошлое, словно вирус","[6, 14, 20]"
688,Икхоккеистуженасбежала,Ик хоккеист уже на сбежала,"[2, 10, 13, 15]"
689,Инаработеполнешийминус,Инаработе полнеший минус,"[9, 17]"
690,Нонашгерой–несдаётся,Нонаш герой – не сдаётся,"[5, 10, 11, 13]"
691,"Слезыутри,","Слезы утри,",[5]
692,Пожизниидётисмеётся,По жизни идёт и смеётся,"[2, 7, 11, 12]"
693,"Вотон,смотри","Вот он, смотри","[3, 6]"
